IdVoie,TypeVoie,Voie
204,RUE,ST LOUIS EN L ILE
206,RUE,DU CHATEAU
208,RUE,THIERS
209,RUE,DES HIRONDELLES (PLAGE)
210,,LES ROSIERS
211,BD,LECCIA
212,RUE,CHATEAUBRIAND
213,RUE,FOUGASSE
214,AV,DE SAINT BARNABE
215,PL,ALBERT SOREL
216,VC,RES LA COTE FLEURIE
217,IMP,DE L OISELIERE
218,,PARKING SAINT GUIREC
219,,LDT SANTA GIULIA
220,RUE,CADROIN
221,RUE,DES JARDINS
222,RUE,EMBOURIANE
223,PL,DE GAULLE
224,AV,DU TOURING CLUB
225,RUE,SAINT ENNEMOND
226,AV,LLOYD GEORGE
227,,KERHILIO
228,AV,MARIE AMELIE
229,RUE,PIERRE DUPONT
230,AV,DU PROGRES
231,RTE,DU CHINAILLON
232,RUE,ANATOLE FRANCE
233,RUE,BENJAMIN FRANKLIN
234,SQ,LE KAIN
236,RUE,DE SOLFERINO
237,RUE,DE BRETAGNE
238,RUE,CASTILLON
239,,MONTEE DU FELIBRIGE
240,AV,JEAN JAURES
241,BD,DU FRONT DE MER
242,RTE,DE LONGPONT
243,SQ,DE L'ALLIANCE
244,BD,ERNEST GIRAULT
245,RUE,SAINTE CROIX
246,RUE,EDGAR QUINET
247,AV,HENRI MARTIN
248,RUE,HENRI BARBUSSE
249,RUE,ARAGO
250,AV,JOSEPH FROMENT
251,RUE,CHARCOT
252,RUE,CASIMIR PINEL
253,RUE,GEORGES SOREL
254,RUE,ALPHONSE PLUCHET
255,RUE,GALLIENI
256,RUE,DE ROMAINVILLE
257,RUE,DELIZY
258,CITE,MONTJOIE
259,RUE,DES CITES
260,RUE,DES SABLONS
261,AV,LIEGEARD
262,ALL,VALERE LEFEBVRE
263,RUE,DE PARIS
264,BD,P VAILLANT COUTURIER
266,RUE,DE SULLY
267,RUE,ETIENNE DOLET
268,AV,DU GENERAL LECLERC
269,RUE,DU PETIT BEAUBOURG
270,RUE,DE MESLY
271,RUE,DE LA COMMUNE
272,RUE,EMILE ZOLA
273,AV,DU GENERAL DE GAULLE
274,RUE,DU MIDI
275,RUE,DES HEROS NOGENTAIS
279,PL,DE L EGLISE
280,RUE,DU MOULIN SARRAZIN
281,RUE,VOLTA
282,RUE,CLER
283,RUE,DU DRAGON
285,BD,DE LA VILLETTE
286,RUE,RODIER
287,RUE,LA GRANGE AUX BELLES
288,RUE,SAULNIER
289,RUE,DE ROCHECHOUART
290,RUE,ERNEST LACOSTE
291,AV,DU GAL MICHEL BIZOT
292,AV,DU MAINE
293,RUE,DE L AMIRAL MOUCHEZ
294,RUE,DU COUEDIC
295,RUE,SARASATE
296,RUE,CARRIER BELLEUSE
297,RUE,DE LA CONVENTION
298,RUE,DU DR PAUL BROUSSE
299,RUE,NAVIER
300,RUE,DE LA JONQUIERE
301,RUE,DE LA TERRASSE
302,RUE,MARX DORMOY
303,RUE,FERDINAND FLOCON
304,RUE,DU CLOS
305,RUE,BARBANEGRE
306,RUE,BOUTAREL
307,RUE,CHARLEMAGNE
308,AV,DU MONT BLANC
309,PL,DE SCHWEINFURT
310,RUE,DE L'ABBE JOLIVET
311,RUE,COMMANDANT CHARCOT
312,RTE,DE LA COTE
313,SQ,DE LA TOURMALINE
314,ALL,LOUIS GRUEL
315,RUE,ROSALIE LEVASSEUR
316,AV,DES FAUVETTES
317,RUE,DAGOBERT
318,RUE,BUFFON
319,RUE,BERLIOZ
320,AV,VICTORIA
321,,BLOD
322,RUE,SADI CARNOT
323,RUE,EDOUARD VAILLANT
324,AV,ROBESPIERRE
325,RES,ALIENOR D AQUITAINE
326,RUE,HENRY MATISSE
327,RUE,GEORGES LECHARTIER
328,AV,GAL DE GAULLE
329,RUE,DE LA GDE ANGUILLE
330,RUE,LESDIGUIERES
331,AV,MARCELIN BERTHELOT
332,RUE,DE LA SAUZEAT
333,ALL,DE LA VILAINE
334,BD,ROCHEPLATTE
335,AV,GEN LECLERC
336,RUE,PIERRE ALBERT LABRO
337,CHE,DES CRIEURS
338,PL,JULES GUESDE
339,RUE,DE WAILLY
341,RUE,LEFEBVRE
342,ALL,DE LA PATURE DE L ETANG
343,RUE,CHARLOTTE PERRIAND
344,RUE,DES PEAULIERS
346,RUE,DU PARC DE CLAGNY
347,PL,ALEXANDRE 1ER
348,RUE,ALBERT PIAULT
350,RUE,EUGENIE
351,RUE,DANTON
352,RUE,MARCELIN BERTHELOT
353,RUE,ERNEST LUISETTI
355,PL,DU SUD
