CodeCommune,NomCommune,CodePostal
141,TOUDON,6830.0
19,BLAUSASC,6440.0
13,BELVEDERE,6450.0
77,LUCERAM,6440.0
74,LANTOSQUE,6450.0
6,ASPREMONT,6790.0
20,LA BOLLENE-VESUBIE,6450.0
102,RIMPLAS,6420.0
31,CANTARON,6340.0
42,CLANS,6420.0
109,LA ROQUETTE SUR VAR,6670.0
151,UTELLE,6450.0
99,PUGET-THENIERS,6260.0
30,LE CANNET,6110.0
84,MOUANS-SARTOUX,6370.0
155,VALLAURIS,6220.0
4,ANTIBES,6600.0
4,ANTIBES,6160.0
108,LA ROQUETTE SUR SIAGNE,6550.0
85,MOUGINS,6250.0
18,BIOT,6410.0
29,CANNES,6400.0
29,CANNES,6150.0
79,MANDELIEU-LA-NAPOULE,6210.0
69,GRASSE,6130.0
90,PEGOMAS,6580.0
138,THEOULE-SUR-MER,6590.0
33,CARROS,6510.0
157,VENCE,6140.0
118,SAINT-CEZAIRE-SUR-SIAGNE,6530.0
25,LE BROC,6510.0
130,SAINT-VALLIER-DE-THIEY,6460.0
65,LA GAUDE,6610.0
10,LE BAR-SUR-LOUP,6620.0
152,VALBONNE,6560.0
70,GREOLIERES,6620.0
95,PEYMEINADE,6530.0
3,ANDON,6750.0
27,CAGNES SUR MER,6800.0
161,VILLENEUVE-LOUBET,6270.0
123,SAINT LAURENT DU VAR,6700.0
44,LA COLLE SUR LOUP,6480.0
128,SAINT-PAUL-DE-VENCE,6570.0
259,SAINT-JUST-D'ARDECHE,7700.0
331,VALS-LES-BAINS,7600.0
42,BOURG-SAINT-ANDEOL,7700.0
100,GRAVIERES,7140.0
304,SALAVAS,7150.0
19,AUBENAS,7200.0
349,LA-VOULTE-SUR-RHONE,7800.0
186,PRIVAS,7000.0
55,CHARMES-SUR-RHONE,7800.0
330,VALLON PONT D'ARC,7150.0
116,LABEGUDE,7200.0
201,RUOMS,7120.0
131,LANAS,7200.0
296,SAINT-SERNIN,7200.0
240,SAINT-GEORGES-LES-BAINS,7800.0
346,VIVIERS,7220.0
279,SAINT-MONTAN,7220.0
255,ST JULIEN EN ST ALBAN,7000.0
268,SAINT-MARTIN-D' ARDECHE,7700.0
324,TOURNON-SUR-RHONE,7300.0
281,SAINT-PERAY,7130.0
102,GUILHERAND-GRANGES,7500.0
10,ANNONAY,7100.0
308,SARRAS,7370.0
89,FELINES,7340.0
245,SAINT-JEAN-DE-MUZOLS,7300.0
78,DAVEZIEUX,7430.0
105,CHARLEVILLE-MEZIERES,8000.0
190,GIVET,8600.0
385,SAINT-LAURENT,8090.0
362,RETHEL,8300.0
409,SEDAN,8200.0
90,CARIGNAN,8110.0
43,BALAN,8200.0
53,BAZEILLES,8140.0
322,USTOU,9140.0
282,SAVERDUN,9700.0
122,FOIX,9000.0
265,SAINT-JEAN-DU-FALGA,9100.0
176,LUZENAC,9250.0
32,AX-LES-THERMES,9110.0
194,MIREPOIX,9500.0
160,LAVELANET,9300.0
225,PAMIERS,9100.0
105,DAUMAZAN-SUR-ARIZE,9350.0
362,SAINTE SAVINE,10300.0
325,ROSIERES PRES TROYES,10430.0
323,ROMILLY SUR SEINE,10100.0
343,SAINT JULIEN LES VILLAS,10800.0
333,SAINT ANDRE LES VERGERS,10120.0
387,TROYES,10000.0
382,TRAINEL,10400.0
81,LA CHAPELLE ST LUC,10600.0
33,BAR SUR AUBE,10200.0
297,PONTSAINTE MARIE,10150.0
268,NOGENT SUR SEINE,10400.0
265,LES NOES PRES TROYES,10420.0
102,COLOMBE LA FOSSE,10200.0
123,DIENVILLE,10500.0
69,CARCASSONNE,11000.0
76,CASTELNAUDARY,11400.0
281,PEXIORA,11150.0
397,TREBES,11800.0
199,LAVALETTE,11290.0
206,LIMOUX,11300.0
310,RENNES LES BAINS,11190.0
144,FITOU,11510.0
379,SIGEAN,11130.0
266,PORT-LA-NOUVELLE,11210.0
170,GRUISSAN,11430.0
202,LEUCATE,11370.0
262,NARBONNE,11100.0
441,VINASSAN,11110.0
145,FLEURY D AUDE,11560.0
48,BOUTENAC,11200.0
285,PEYRIAC DE MER,11440.0
24,BAGES,11100.0
203,LEZIGNAN-CORBIERES,11200.0
370,SALLES D AUDE,11110.0
258,MOUSSAN,11120.0
106,COURSAN,11110.0
146,LE MONASTERE,12000.0
202,MARSEILLE 2EME,13002.0
204,MARSEILLE 4EME,13004.0
201,MARSEILLE 1ER,13001.0
216,MARSEILLE 16EME,13016.0
215,MARSEILLE 15EME,13015.0
203,MARSEILLE 3EME,13003.0
214,MARSEILLE 14EME,13014.0
214,MARSEILLE 14EME,13013.0
210,MARSEILLE 10EME,13010.0
207,MARSEILLE 7EME,13007.0
205,MARSEILLE 5EME,13005.0
206,MARSEILLE 6EME,13006.0
209,MARSEILLE 9EME,13009.0
5,AUBAGNE,13400.0
208,MARSEILLE 8EME,13008.0
119,CARNOUX-EN-PROVENCE,13470.0
22,CASSIS,13260.0
86,ROQUEVAIRE,13360.0
28,LA CIOTAT,13600.0
31,LA DESTROUSSE,13112.0
7,AURIOL,13390.0
70,LA PENNE SUR HUVEAUNE,13821.0
16,LA BOUILLADISSE,13720.0
101,SAINT SAVOURNIN,13119.0
85,ROQUEFORT LA BEDOULE,13830.0
73,PEYPIN,13124.0
46,GREASQUE,13850.0
42,GEMENOS,13420.0
30,CUGES LES PINS,13780.0
213,MARSEILLE 13EME,13013.0
212,MARSEILLE 12EME,13012.0
75,PLAN DE CUQUES,13380.0
211,MARSEILLE 11EME,13011.0
212,MARSEILLE 12EME,13004.0
2,ALLAUCH,13190.0
63,MIRAMAS,13140.0
103,SALON-DE-PROVENCE,13300.0
1,AIX EN PROVENCE,13100.0
87,ROUSSET,13790.0
33,ENSUES-LA-REDONNE,13820.0
26,CHATEAUNEUF-LES-MARTIGUES,13220.0
117,VITROLLES,13127.0
54,MARIGNANE,13700.0
43,GIGNAC-LA-NERTHE,13180.0
36,EYRAGUES,13630.0
100,SAINT-REMY-DE-PROVENCE,13210.0
4,ARLES,13200.0
45,GRAVESON,13690.0
35,EYGUIERES,13430.0
27,CHATEAURENARD,13160.0
118,CAEN,14000.0
409,MERVILLE FRANCEVILLE,14810.0
312,GRANDCAMP-MAISY,14450.0
366,LISIEUX,14100.0
333,HONFLEUR,14600.0
715,TROUVILLE-SUR-MER,14360.0
225,DIVES-SUR-MER,14160.0
754,VILLERS-SUR-MER,14640.0
220,DEAUVILLE,14800.0
338,HOULGATE,14510.0
514,PONT-L EVEQUE,14130.0
79,BLONVILLE-SUR-MER,14910.0
701,TOURGEVILLE,14800.0
699,TOUQUES,14800.0
59,BENERVILLE-SUR-MER,14910.0
229,DOZULE,14430.0
243,EQUEMAUVILLE,14600.0
557,SAINT-ARNOULT,14800.0
536,RIVIERE-SAINT-SAUVEUR (LA),14600.0
15,ANGOULEME,16000.0
291,RUELLE-SUR-TOUVRE,16600.0
374,SOYAUX,16800.0
28,BARBEZIEUX SAINT HILAIRE,16300.0
166,L'ISLE D'ESPAGNAC,16340.0
154,GOND PONTOUVRE,16160.0
341,SAINT-MICHEL,16470.0
414,SAINT-XANDRE,17138.0
300,LA ROCHELLE,17000.0
200,LAGORD,17140.0
274,PERIGNY,17180.0
94,CHATELAILLON-PLAGE,17340.0
28,AYTRE,17440.0
109,CLAVETTE,17220.0
207,LOIX,17111.0
369,SAINT-MARTIN-DE-RE,17410.0
127,COURCON,17170.0
286,LES PORTES-EN-RE,17880.0
291,PUILBOREAU,17138.0
142,DOMPIERRE-SUR-MER,17139.0
218,MARANS,17230.0
19,ARS-EN-RE,17590.0
10,ANGOULINS,17690.0
299,ROCHEFORT,17300.0
449,TONNAY CHARENTE,17430.0
168,FOURAS,17450.0
415,SAINTES,17100.0
421,SAUJON,17600.0
333,SAINT-GEORGES-DE-DIDONNE,17110.0
230,MESCHERS-SUR-GIRONDE,17132.0
34,BARZAN,17120.0
347,ST JEAN D'ANGELY,17400.0
279,VIERZON,18100.0
33,BOURGES,18000.0
207,SAINT-FLORENT-SUR-CHER,18400.0
141,MEHUN-SUR-YEVRE,18500.0
157,MORTHOMIERS,18570.0
5,ALLOUIS,18500.0
197,SAINT-AMAND-MONTROND,18200.0
15,AUBIGNY-SUR-NERE,18700.0
269,TREIGNAC,19260.0
272,TULLE,19000.0
275,USSEL,19200.0
31,BRIVE LA GAILLARDE,19100.0
274,USSAC,19270.0
243,SAINT-SORNIN-LAVOLPS,19230.0
123,MALEMORT,19360.0
202,SAINTE FEREOLE,19270.0
231,DIJON,21000.0
278,SAINT-BRIEUC,22000.0
54,ERQUY,22430.0
93,LAMBALLE-ARMOR,22400.0
206,CHATELAUDREN-PLOUAGAT,22170.0
106,LANGUEUX,22360.0
215,PLOUFRAGAN,22440.0
222,PLOUHA,22580.0
162,PAIMPOL,22500.0
186,PLENEUF-VAL-ANDRE,22370.0
325,SAINT-QUAY-PORTRIEUX,22410.0
187,PLERIN,22190.0
55,BINIC-ETABLES-SUR-MER,22680.0
81,HILLION,22120.0
360,TREGUEUX,22950.0
160,NOYAL,22400.0
209,BEAUSSAIS-SUR-MER,22650.0
50,DINAN,22100.0
282,SAINT-CAST-LE-GUILDO,22380.0
179,FREHEL,22240.0
339,TADEN,22100.0
94,LANCIEUX,22770.0
172,PLANCOET,22130.0
32,CAULNES,22350.0
118,LANVALLAY,22100.0
143,MATIGNON,22550.0
20,BROONS,22250.0
70,GUINGAMP,22200.0
225,PLOUMAGOAR,22970.0
168,PERROS-GUIREC,22700.0
113,LANNION,22300.0
362,TREGUIER,22220.0
379,TREVOU-TREGUIGNEC,22660.0
343,TREBEURDEN,22560.0
194,PLESTIN-LES-GREVES,22310.0
136,LOUDEAC,22600.0
176,LA SOUTERRAINE,23300.0
96,GUERET,23000.0
322,PERIGUEUX,24000.0
557,TRELISSAC,24750.0
53,BOULAZAC ISLE MANOIRE,24750.0
138,COULOUNIEIX-CHAMIERS,24660.0
37,BERGERAC,24100.0
335,PORT-SAINTE-FOY-ET-PONCHAPT,33220.0
362,VAL DE LOUYRE ET CAUDEAU,24510.0
226,LAMOTHE-MONTRAVEL,24230.0
547,TERRASSON LAVILLEDIEU,24120.0
520,SARLAT-LA-CANEDA,24200.0
356,ROUFFIGNAC-ST-CERNIN-DE-REILHA,24580.0
86,CASTELNAUD-LA-CHAPELLE,24250.0
56,BESANCON,25000.0
265,GENEUILLE,25870.0
527,SAINT VIT,25410.0
84,BOUSSIERES,25320.0
364,MAMIROLLE,25620.0
495,ROCHE LEZ BEAUPRE,25220.0
381,MISEREY SALINES,25480.0
73,BONNAY,25870.0
197,DELUZ,25960.0
35,LES AUXONS,25870.0
47,BAUME LES DAMES,25110.0
462,PONTARLIER,25300.0
293,GRANGES NARBOZ,25300.0
318,JOUGNE,25370.0
321,VILLERS LE LAC,25130.0
411,MORTEAU,25500.0
307,LES HOPITAUX NEUFS,25370.0
494,ROCHEJEAN,25370.0
434,ORNANS,25290.0
204,DOUBS,25300.0
578,VALDAHON,25800.0
157,LA CLUSE ET MIJOUX,25300.0
380,METABIEF,25370.0
222,ETALANS,25580.0
403,MONTLEBON,25500.0
413,MOUTHE,25240.0
254,LES FOURGS,25300.0
127,CHARQUEMONT,25140.0
31,AUDINCOURT,25400.0
539,SELONCOURT,25230.0
304,HERIMONCOURT,25310.0
388,MONTBELIARD,25200.0
281,ROMANS-SUR-ISERE,26100.0
362,VALENCE,26000.0
213,MORAS-EN-VALLOIRE,26210.0
198,MONTELIMAR,26200.0
57,BOURG-DE-PEAGE,26300.0
191,MONTBOUCHER-SUR-JABRON,26740.0
58,BOURG LES VALENCE,26500.0
64,CHABEUIL,26120.0
108,CREST,26400.0
116,DONZERE,26290.0
325,SAINT-RAMBERT-D ALBON,26140.0
114,DIEULEFIT,26220.0
357,TULETTE,26790.0
42,BEAUVALLON,26800.0
182,MIRABEL-AUX-BARONNIES,26110.0
166,LORIOL SUR DROME,26270.0
235,PIERRELATTE,26700.0
324,SAINT-PAUL-TROIS-CHATEAUX,26130.0
197,MONTELIER,26120.0
165,LIVRON SUR DROME,26250.0
252,PORTES LES VALENCE,26800.0
220,NYONS,26110.0
338,SAUZET,26740.0
301,SAINT-DONAT-SUR-L HERBASSE,26260.0
8,ANCONE,26200.0
322,SAINT-PANTALEON-LES-VIGNES,26770.0
290,SAINT-AGNAN-EN-VERCORS,26420.0
271,LA ROCHE DE GLUN,26600.0
218,MOURS-SAINT-EUSEBE,26540.0
333,SAINT VALLIER,26240.0
250,PONT DE L ISERE,26600.0
179,MERCUROL-VEAUNES,26600.0
347,TAIN L HERMITAGE,26600.0
37,BEAUMONT LES VALENCE,26760.0
211,MONTSEGUR-SUR-LAUZON,26130.0
247,PONSAS,26240.0
299,GRAVIGNY,27930.0
502,RUGLES,27250.0
230,EZY SUR EURE,27530.0
229,EVREUX,27000.0
448,PACY-SUR-EURE,27120.0
119,BUEIL,27730.0
681,VERNON,27200.0
562,ST MARCEL,27950.0
165,CONCHES EN OUCHE,27190.0
679,VERNEUIL D'AVRE ET D'ITON,27130.0
284,GISORS,27140.0
16,LES ANDELYS,27700.0
660,LA TRINITE DE REVILLE,27270.0
51,BEAUMONT LE ROGER,27170.0
56,BERNAY,27300.0
275,GAILLON,27600.0
85,CHARTRES,28000.0
168,GALLARDON,28320.0
110,LE COUDRAY,28630.0
140,EPERNON,28230.0
229,MAINVILLIERS,28300.0
391,TOURY,28310.0
191,HANCHES,28130.0
209,LEVES,28300.0
173,GASVILLE OISEME,28300.0
227,MAINTENON,28130.0
218,LUCE,28110.0
84,CHARTAINVILLIERS,28130.0
358,ST PREST,28300.0
172,GAS,28320.0
15,AUNEAU-BLEURY-SAINT-SYMPHORIEN,28700.0
220,LUISANT,28600.0
201,JOUY,28300.0
116,COURVILLE SUR EURE,28190.0
88,CHATEAUDUN,28200.0
334,ST DENIS-LANNERAY,28200.0
134,DREUX,28100.0
404,VERNOUILLET,28500.0
213,LORMAYE,28210.0
279,NOGENT-LE-ROI,28210.0
7,ANET,28260.0
94,CHAUDON,28210.0
348,ST LUBIN DES JONCHERETS,28350.0
89,CHATEAUNEUF EN THYMERAIS,28170.0
359,ST REMY SUR AVRE,28380.0
113,COULOMBS,28210.0
280,NOGENT LE ROTROU,28400.0
232,QUIMPER,29000.0
46,DOUARNENEZ,29100.0
233,QUIMPERLE,29300.0
39,CONCARNEAU,29900.0
217,PONT-AVEN,29930.0
31,CLOHARS CARNOET,29360.0
19,BREST,29200.0
260,SAINT RENAN,29290.0
45,DIRINON,29460.0
103,LANDERNEAU,29800.0
189,PLOUGASTEL-DAOULAS,29470.0
22,CAMARET-SUR-MER,29570.0
42,CROZON,29160.0
256,SAINT-NIC,29550.0
151,MORLAIX,29600.0
105,LANDIVISIAU,29400.0
23,CARANTEC,29660.0
254,SAINT-MARTIN-DES-CHAMPS,29600.0
188,PLOUGASNOU,29630.0
239,ROSCOFF,29680.0
247,PORTO-VECCHIO,20137.0
4,AJACCIO,20000.0
249,PROPRIANO,20110.0
4,AJACCIO,20090.0
272,SARTENE,20100.0
362,ZONZA,20144.0
41,BONIFACIO,20169.0
130,GROSSETO-PRUGNA,20128.0
139,LECCI,20137.0
18,ARBELLARA,20110.0
228,PIETROSELLA,20166.0
130,GROSSETO-PRUGNA,20166.0
348,VICO,20160.0
70,CASAGLIONE,20111.0
271,SARROLA-CARCOPINO,20167.0
21,ARGIUSTA-MORICCIO,20140.0
8,ALBITRECCIA,20166.0
276,SERRA-DI-FERRO,20140.0
85,CAURO,20117.0
200,PALNECA,20134.0
17,APPIETTO,20167.0
48,CALCATOGGIO,20111.0
215,PIANOTTOLI-CALDARELLO,20131.0
198,OTA,20150.0
35,BELVEDERE-CAMPOMORO,20110.0
288,SOTTA,20146.0
269,SARI-SOLENZARA,20145.0
139,LECCI,20000.0
189,OLMETO,20113.0
98,COTI-CHIAVARI,20138.0
71,CASALABRIVA,20140.0
324,TAVERA,20163.0
348,VICO,20118.0
254,QUENZA,20122.0
32,BASTELICACCIA,20129.0
212,PIANA,20115.0
90,COGGIA,20118.0
119,FRASSETO,20157.0
103,CUTTOLI-CORTICCHIATO,20167.0
312,SANTA-MARIA-SICHE,20190.0
90,COGGIA,20160.0
8,ALBITRECCIA,20128.0
349,VIGGIANELLO,20110.0
4,AJACCIO,
20,AREGNO,20220.0
134,L'ILE ROUSSE,20220.0
87,CERVIONE,20221.0
185,OLETTA,20232.0
133,LE GRAU DU ROI,30240.0
3,AIGUES-MORTES,30220.0
189,NIMES,30900.0
189,NIMES,30000.0
62,CALVISSON,30420.0
106,DURFORT-ET-SAINT-MARTIN-DE-,30170.0
341,VAUVERT,30600.0
60,CAISSARGUES,30132.0
169,MILHAUD,30540.0
82,CLARENSAC,30870.0
47,BOUILLARGUES,30230.0
125,GARONS,30128.0
321,SOMMIERES,30250.0
231,SAINT ANDRE DE VALBORGNE,30940.0
123,GALLARGUES-LE-MONTUEUX,30660.0
36,BERNIS,30620.0
4,AIGUES-VIVES,30670.0
249,SAINT-DIONISY,30980.0
126,GARRIGUES SAINTE EULALIE,30190.0
311,SAUVE,30610.0
61,LA CALMETTE,30190.0
140,LASALLE,30460.0
276,SAINT-LAURENT-D AIGOUZE,30220.0
20,AUBORD,30620.0
6,AIMARGUES,30470.0
356,RODILHAN,30230.0
309,SARDAN,30260.0
83,CODOGNAN,30920.0
17,ARRIGAS,30770.0
210,QUISSAC,30260.0
255,SAINT-GENIES-DE-MALGOIRES,30190.0
75,CAVEIRAC,30820.0
350,LE VIGAN,30120.0
325,SUMENE,30440.0
263,ST HIPPOLYTE DU FORT,30170.0
334,UZES,30700.0
128,GENERAC,30510.0
141,LAUDUN-L ARDOISE,30290.0
34,BELLEGARDE,30127.0
32,BEAUCAIRE,30300.0
351,VILLENEUVE LES AVIGNON,30400.0
288,SAINT-NAZAIRE,30200.0
156,MARGUERITTES,30320.0
166,MEYNES,30840.0
217,ROCHEFORT-DU-GARD,30650.0
11,LES ANGLES,30133.0
212,REMOULINS,30210.0
206,POULX,30320.0
202,PONT ST ESPRIT,30130.0
258,ST GILLES,30800.0
73,CASTILLON-DU-GARD,30210.0
260,SAINT-HILAIRE-D OZILHAN,30210.0
290,SAINT-PAULET-DE-CAISSON,30130.0
317,SERNHAC,30210.0
28,BAGNOLS SUR CEZE,30200.0
315,SAZE,30650.0
174,MONTAREN-ET-SAINT-MEDIERS,30700.0
179,MONTFRIN,30490.0
221,ROQUEMAURE,30150.0
7,ALES,30100.0
203,PORTES,30530.0
171,MOLIERES-SUR-CEZE,30410.0
37,BESSEGES,30160.0
253,SAINT-FLORENT-SUR-AUZONNET,30960.0
132,LA GRAND COMBE,30110.0
10,ANDUZE,30140.0
555,TOULOUSE,31400.0
555,TOULOUSE,31200.0
555,TOULOUSE,31000.0
555,TOULOUSE,31500.0
116,CASTELGINEST,31780.0
186,FONBEAUZARD,31140.0
44,BALMA,31130.0
163,DREMIL LAFAGE,31280.0
561,L UNION,31240.0
22,AUCAMVILLE,31140.0
182,FENOUILLET,31150.0
462,ROUFFIAC TOLOSAN,31180.0
205,GAGNAC SUR GARONNE,31150.0
446,RAMONVILLE ST AGNE,31520.0
488,ST JEAN,31240.0
282,LAUNAGUET,31140.0
184,FLOURENS,31130.0
555,TOULOUSE,31300.0
557,TOURNEFEUILLE,31170.0
149,COLOMIERS,31770.0
555,TOULOUSE,31100.0
69,BLAGNAC,31700.0
584,VILLEMUR SUR TARN,31340.0
32,AUSSONNE,31840.0
157,CUGNAUX,31270.0
232,GRENADE SUR GARONNE,31330.0
526,LA SALVETAT ST GILLES,31880.0
351,MONDONVILLE,31700.0
202,FRONTON,31620.0
56,BEAUZELLE,31700.0
66,BESSIERES,31660.0
113,CASTANET TOLOSAN,31320.0
582,VILLEFRANCHE-DE-LAURAGAIS,31290.0
396,NAILLOUX,31560.0
254,LABEGE,31670.0
451,REVEL,31250.0
506,ST ORENS DE GAMEVILLE,31650.0
271,LANTA,31570.0
259,LACROIX FALGARDE,31120.0
35,AUZEVILLE-TOLOSANE,31320.0
169,ESCALQUENS,31750.0
358,MONTASTRUC LA CONSEILLERE,31380.0
429,POMPERTUZAT,31450.0
48,BAZIEGE,31450.0
203,FROUZINS,31270.0
13,AUCH,32000.0
107,CONDOM,32100.0
96,CAZAUBON,32150.0
147,GIMONT,32200.0
160,L ISLE JOURDAIN,32600.0
63,BORDEAUX,33200.0
376,SAINT AUBIN DE MEDOC,33160.0
312,PAREMPUYRE,33290.0
449,SAINT MEDARD EN JALLES,33160.0
63,BORDEAUX,33000.0
63,BORDEAUX,33300.0
75,BRUGES,33520.0
214,LACANAU,33680.0
69,LE BOUSCAT,33110.0
200,LE HAILLAN,33185.0
162,EYSINES,33320.0
256,LUDON MEDOC,33290.0
297,MOULIS-EN-MEDOC,33480.0
