IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
158,2020-04-17,215000.0,Vente,156
159,2020-04-24,127300.0,Vente,157
160,2020-05-25,136000.0,Vente,158
161,2020-05-25,72000.0,Vente,159
162,2020-05-14,192000.0,Vente,160
163,2020-05-28,124500.0,Vente,161
164,2020-06-23,111000.0,Vente,162
165,2020-06-18,239000.0,Vente,163
166,2020-05-19,160000.0,Vente,164
167,2020-02-14,179000.0,Vente,165
168,2020-04-10,274000.0,Vente,166
169,2020-06-09,249000.0,Vente,167
170,2020-05-27,138000.0,Vente,168
171,2020-05-15,115000.0,Vente,169
172,2020-05-28,86000.0,Vente,170
173,2020-06-05,105000.0,Vente,171
174,2020-02-18,131000.0,Vente,172
175,2020-06-09,546900.0,Vente,173
176,2020-03-23,162000.0,Vente,174
177,2020-03-06,179500.0,Vente,175
178,2020-01-09,150000.0,Vente,176
179,2020-01-16,165000.0,Vente,176
180,2020-02-12,298000.0,Vente,177
181,2020-03-17,125000.0,Vente,178
182,2020-06-22,131000.0,Vente,179
183,2020-03-11,138000.0,Vente,180
184,2020-01-06,285000.0,Vente,181
185,2020-01-27,123100.0,Vente,182
186,2020-01-16,107500.0,Vente,183
187,2020-01-30,128810.0,Vente,184
188,2020-02-07,53320.0,Vente,185
189,2020-02-28,43520.0,Vente,186
190,2020-04-10,34000.0,Vente,187
191,2020-05-20,85000.0,Vente,188
192,2020-02-20,81000.0,Vente,189
193,2020-04-21,65000.0,Vente,190
194,2020-04-10,227000.0,Vente,191
195,2020-01-30,205600.0,Vente,192
196,2020-06-18,129000.0,Vente,193
197,2020-05-20,125500.0,Vente,194
198,2020-06-15,249900.0,Vente,195
199,2020-06-17,260000.0,Vente,196
200,2020-01-07,86980.0,Vente,197
201,2020-01-19,217250.0,Vente,198
202,2020-06-26,135000.0,Vente,199
203,2020-06-05,259000.0,Vente,200
204,2020-02-21,152490.0,Vente,201
205,2020-02-28,177000.0,Vente,202
206,2020-01-30,197800.0,Vente,203
207,2020-01-27,408623.0,Vente,204
208,2020-05-20,380750.0,Vente,205
209,2020-06-17,344400.0,Vente,206
210,2020-05-28,60700.0,Vente,207
211,2020-01-31,31000.0,Vente,208
212,2020-01-23,192120.0,Vente,209
213,2020-05-27,45000.0,Vente,210
214,2020-06-02,192000.0,Vente,211
215,2020-04-21,460000.0,Vente,212
216,2020-03-13,400000.0,Vente,213
217,2020-02-04,59875.0,Vente,214
218,2020-02-17,135000.0,Vente,215
219,2020-06-15,148000.0,Vente,216
